source,company,title,link,experience_years,education,salary,tech_stack,qualifications,preferred,responsibilities,benefits
원티드,사이오닉에이아이,Backend Developer - Kotlin+Spring (5년 이상),https://www.wanted.co.kr/wd/292659,,,,"Kotlin, TypeScript, Spring, Kubernetes, SQL, AWS, Message Queue, MSA, PostgreSQL, Redis, JavaScript",,,,
원티드,크로스이엔에프,Python Backend Developer,https://www.wanted.co.kr/wd/238973,,,,"TypeScript, Python, AWS, Linux, Message Queue, Kafka, JIRA, Django, Flask, Confluence",,,,
원티드,에임인텔리전스,Backend Developer,https://www.wanted.co.kr/wd/316886,,,,"Prometheus, AWS, MSA, PostgreSQL, JavaScript, Elasticsearch, GCP, Terraform, Python, Redis, TypeScript, SQL, Docker, FastAPI, ELK Stack, NestJS, Helm, Kubernetes, Hive, Grafana",,,,
원티드,렌트리,백엔드 개발자 (Backend Developer),https://www.wanted.co.kr/wd/317565,,,,"Git, REST API, CI/CD, AWS, MyBatis, Firebase, React, React.js, JavaScript, Elasticsearch, Confluence, Agile, React Native, Datadog, Redis, TypeScript, Spring Boot, GraphQL, SQL, Jenkins, ElasticSearch, Slack, ELK Stack, Spring, MySQL, MongoDB, GitHub, JIRA, Figma, iBatis",,,,
원티드,휴런,Backend Developer (5년이상),https://www.wanted.co.kr/wd/322188,,,,"Git, REST API, AWS, Java, React.js, Confluence, GCP, Asana, Python, Azure, DICOM, Spring Boot, TypeScript, SQL, Jenkins, Docker, Slack, PACS, Spring, MySQL, Kubernetes, Linux",,,,
원티드,쏘카(SOCAR),Backend Developer(공통플랫폼),https://www.wanted.co.kr/wd/329199,,,,"Prometheus, GCP, REST API, Kotlin, gRPC, Spring Boot, Spring, TypeScript, Kubernetes, AWS, Java, Docker, Kafka, MSA, JPA, Datadog, Grafana, Redis",,,,
원티드,페이타랩(패스오더),[병역특례] Backend Developer(산업기능요원/보충역/전직),https://www.wanted.co.kr/wd/325722,,,,"Git, REST API, AWS, Java, MSA, PostgreSQL, Elasticsearch, Python, IntelliJ IDEA, Datadog, Redis, Kotlin, TypeScript, SQL, Jenkins, Docker, Kafka, FastAPI, Spring, Kubernetes, MongoDB, Flask",,,,
원티드,페이타랩(패스오더),Backend Developer,https://www.wanted.co.kr/wd/325718,,,,"Git, REST API, AWS, Java, MSA, PostgreSQL, Elasticsearch, Python, IntelliJ IDEA, Datadog, Redis, Kotlin, TypeScript, SQL, Jenkins, Docker, Kafka, FastAPI, Spring, Kubernetes, MongoDB, Flask",,,,
원티드,안랩블록체인컴퍼니,Backend Developer,https://www.wanted.co.kr/wd/223157,,,,"Git, GCP, REST API, CI/CD, TypeScript, MySQL, SQL, Kubernetes, Python, Linux, AWS, Docker, MongoDB, Go, MSA, GitHub, PostgreSQL, Azure",,,,
원티드,짐캐리,Backend Developer,https://www.wanted.co.kr/wd/330828,,,,"GCP, REST API, TypeScript, MySQL, SQL, Kubernetes, AWS, Docker, MSA, Kafka, Message Queue, PostgreSQL, Redis, NestJS, JavaScript",,,,
원티드,삼가,Backend Developer,https://www.wanted.co.kr/wd/271068,,,,"Git, CSS, Flutter, HTML, REST API, TypeScript, Spring, Linux, Java, WebRTC, React, React Native, Angular, JavaScript",,,,
원티드,보이저,Go Backend Developer,https://www.wanted.co.kr/wd/293878,,,,"Git, GCP, REST API, CI/CD, TypeScript, MySQL, SQL, Kubernetes, Python, AWS, Docker, MSA, Go, GitHub Actions, ECS, Azure, Redis",,,,
원티드,비바이노베이션,Backend Developer,https://www.wanted.co.kr/wd/311992,,,,"Git, REST API, Notion, TypeScript, MySQL, Python, MongoDB, AWS, FastAPI, GitHub, SQL 서버, Slack, Django, NestJS, Redmine, JavaScript",,,,
원티드,기아,[ICT] Backend Developer,https://www.wanted.co.kr/wd/254014,,,,"CI/CD, TypeScript, Spring, Spring Boot, SQL, Kubernetes, AWS, Linux, Java, Docker, Agile, Azure",,,,
사람인,(주)비바리퍼블리카,Data Engineer(Commerce),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52770911,,,,,,,,
사람인,(주)비바리퍼블리카,Data Engineer(Commerce 검색),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52770944,,,,,,,,
사람인,에이아이링고(주),[AI 법률번역 스타트업] 데이터 엔지니어 (Data Engineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52660927,,,,,,,,
사람인,(주)사람인에이치에스,[재택/외국계/영어가능자] Azure & OpenAIData Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52582251,,,,,,,,
사람인,(주)비바리퍼블리카,Data Engineer(Platform),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52770858,,,,,,,,
사람인,(주)티오더,[t'order Inc.]Data Engineer모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52698484,,,,,,,,
사람인,(주)제로,Data Engineer(커머스 데이터 / 검색),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52684579,,,,,,,,
사람인,(주)모두싸인,[모두싸인]Data Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52533069,,,,,,,,
사람인,리쿠르트퍼스트코리아,[물류 SaaS] 시니어Data Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52744518,,,,,,,,
사람인,(주)야놀자,[Yanolja NEXT]Data Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52677546,,,,,,,,
사람인,(주)폴리인스퍼레이션,[폴리인스퍼레이션]Data Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52441995,,,,,,,,
사람인,프로페셔날핸즈인핸즈코리아(주),Azure and OpenAIData engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52717751,,,,,,,,
사람인,뉴로퓨전(주),[전문연구요원] 금융AI 스타트업Data Engineer채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52297672,,,,,,,,
사람인,솔트웨어(주),Data Engineer부문 채용 공고 ( Solutions Architect ),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52638264,,,,,,,,
사람인,스푼랩스,Data Engineer(5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52689572,,,,,,,,
사람인,메가존클라우드(주),Data Engineer(데이터 거버넌스 전문가) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52580837,,,,,,,,
사람인,씨제이올리브영(주),[CJ올리브영] Data Analytics Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52764808,,,,,,,,
사람인,토스증권(주),Data Analytics Engineer(Mart),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52737044,,,,,,,,
사람인,토스증권(주),Data Engineer(AI),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52684481,,,,,,,,
사람인,(주)데이터마케팅코리아,"Data&AI Engineer(Core Member, MidLevel+) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52312162,,,,,,,,
사람인,씨제이올리브영(주),[CJ올리브영] Data Platform Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52764809,,,,,,,,
사람인,팀스파르타(주),Data EngineerIntern,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52706796,,,,,,,,
사람인,토스증권(주),Data Engineer(Finance),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52684482,,,,,,,,
사람인,(주)카카오,Data Analytics Engineer (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52185015,,,,,,,,
사람인,토스증권(주),Data Analytics Engineer(Platform),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52658793,,,,,,,,
사람인,토스증권(주),Data Analytics Engineer(CPC Mart),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52658792,,,,,,,,
사람인,(주)위버케어,병원EMR 데이터 마이그레이션 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52751846,,,,,,,,
사람인,(주)레진엔터테인먼트,[다우키움 계열사] 데이터 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52746560,,,,,,,,
사람인,(주)클라우드네트웍스,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52357633,,,,,,,,
사람인,(주)피너클써치,"[ 데이터 엔지니어 경력 3-11년, 대기업 광고대행사 ]",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52704959,,,,,,,,
사람인,(주)케이비헬스케어,[KB금융그룹 계열] KB헬스케어 데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52741933,,,,,,,,
사람인,(주)디케이테크인,[IDC] 카카오엔터프라이즈 데이터센터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52778709,,,,,,,,
사람인,디알씨티에스(주),삼성바이오에피스   데이터 엔지니어 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52691467,,,,,,,,
사람인,주식회사 디씨피,데이터센터 엔지니어 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52299916,,,,,,,,
사람인,넷마블(주),데이터 프로덕트 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52651912,,,,,,,,
사람인,(주)빅아이디언,[빅아이디언] 빅데이터 솔루션 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52290200,,,,,,,,
사람인,(주)피비스,AWS / Snowflake 데이터 엔지니어 경력 개발자 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52772064,,,,,,,,
사람인,(주)퀸텟시스템즈,[정규직] 데이터 엔지니어 (3년 이상 경력자),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52569680,,,,,,,,
사람인,주식회사 이지에스브이에스코리아,IDC인터넷 데이터 센터 IT 운영 엔지니어(중국어 필수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52769600,,,,,,,,
사람인,(주)소프트인,[경력] AI/데이터 엔지니어 채용 공고 (내국인/과장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52712343,,,,,,,,
사람인,(주)미리비트,"빅데이터,서버백엔드 엔지니어/13~15년",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52570652,,,,,,,,
사람인,(주)미리비트,"빅데이터,서버백엔드 엔지니어/16년~",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52570927,,,,,,,,
사람인,(주)아이겐드럭,AI 신약개발 플랫폼 백엔드/데이터 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52482910,,,,,,,,
사람인,(주)한샘,㈜한샘(본사) 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52350094,,,,,,,,
사람인,(주)맨파워써치앤컨설팅,[외국계] 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52753100,,,,,,,,
사람인,나이스지니데이타주식회사,NICE 지니데이타(주)  데이터 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52510607,,,,,,,,
사람인,(주)미리비트,"빅데이터,서버백엔드 엔지니어/10~12년",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52570641,,,,,,,,
사람인,마이데이터(주),[삼성전자GMO] GCP TA · 데이터 엔지니어 · Java 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52744751,,,,,,,,
사람인,(주)엑셈,"[AI·빅데이터] AI 엔지니어, R&D, 데이터 사이언티스트",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52754869,,,,,,,,
사람인,세림티에스지(주),[데이터센터사업부/대전] 정보시스템  유지관리/시스템엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52273462,,,,,,,,
사람인,(주)에이치알비즈코리아,게임 데이터엔지니어/MLOps 플랫폼 구축 /세계적인 게임사/판교,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52733274,,,,,,,,
사람인,주식회사 지니어스,[대기업계열사/마케팅에이전시] 데이터 플랫폼 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52697393,,,,,,,,
사람인,(주)오파스넷,[경력] 고객사 네트워크/데이터센터 상주 엔지니어 모집 - Div.4,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52580244,,,,,,,,
사람인,주식회사 디씨피,데이터센터 엔지니어 채용 공고 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52629763,,,,,,,,
사람인,(주)스펠릭스,[스펠릭스] 정규직 데이터 및 AI 엔지니어를 경력사원 모집합니,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52540162,,,,,,,,
사람인,(주)숲,[SOOP] 데이터 분석 엔지니어 (Data Analytics Enginner),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52739013,,,,,,,,
사람인,(주)데이타솔루션,[중견기업/IT] 데이타솔루션 개발자 / 데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52351669,,,,,,,,
사람인,(주)미리비트,데이터 플랫폼 엔지니어 (3년차~PL) Spark · Airflow · K8s,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52534787,,,,,,,,
사람인,주식회사 이지에스브이에스코리아,"IDC인터넷 데이터 센터 IT 운영 엔지니어(중국어 필수,F비자)",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52710680,,,,,,,,
사람인,씨앤토트플러스(주),[이천]데이터센터 시스템 운영원 모집(향후 엔지니어 양성),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52448418,,,,,,,,
사람인,㈜인터전기,"데이타센터 BMS/자동제어 설계/시스템엔지니어, 현장공정관리",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52764355,,,,,,,,
사람인,(주)올라핀테크,[경력] 데이터 엔지니어 포지션 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52474273,,,,,,,,
사람인,(주)올라핀테크,데이터 엔지니어 채용(경력 8~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52753820,,,,,,,,
사람인,(주)레인보우8,데이터 엔지니어 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52479942,,,,,,,,
사람인,펑타이그레이터차이나(유)영업소,[PTKOREA] 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52675693,,,,,,,,
사람인,(주)탑앤스카우트,[서울/대기업 광고대행사] 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52725522,,,,,,,,
사람인,HR컨설팅(주),삼성그룹)데이터 엔지니어 (아키텍트) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52739419,,,,,,,,
사람인,(주)올라핀테크,데이터 엔지니어 채용(경력 5~7년),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52753668,,,,,,,,
사람인,(주)에이치알비즈코리아,게임 데이터 엔지니어 담당 (플랫폼개발)/세계적인 게임사/판교,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52733226,,,,,,,,
사람인,(주)와이즈에이아이,(주)와이즈에이아이 데이터 엔지니어를 채용합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52450583,,,,,,,,
사람인,(주)캐롯아이,데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52615198,,,,,,,,
사람인,(주)그리드위즈,[그리드위즈] 데이터 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52688197,,,,,,,,
사람인,(주)카카오모빌리티,[카카오모빌리티] 데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52690731,,,,,,,,
사람인,(주)로이드케이,빅데이터 솔루션 데이터 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52647842,,,,,,,,
원티드,뉴로퓨전,Data Engineer (전문연구요원 가능),https://www.wanted.co.kr/wd/325377,,,,"EKS, Node.js, Data Pipeline, TypeScript, Kubernetes, SQL, Python, AWS",,,,
원티드,아임웹,Data Engineer,https://www.wanted.co.kr/wd/240941,,,,"Hadoop, Flutter, Data Pipeline, TypeScript, Kubernetes, AWS, Python, Java, Airflow, ETL, Kafka, Docker, Swift, Scala, Spark",,,,
원티드,샵라이브,Data Engineer - 4년 이상,https://www.wanted.co.kr/wd/323419,,,,"Hadoop, BigQuery, AWS, Java, Scala, GCP, Python, Agile, ClickHouse, TypeScript, SQL, Airflow, Docker, Flink, Kubernetes, ETL, Redshift, Grafana, Spark",,,,
원티드,샵라이브,Data Engineer (Senior) - 5년 이상,https://www.wanted.co.kr/wd/299775,,,,"Hadoop, BigQuery, AWS, Java, Scala, GCP, Python, Agile, Snowflake, Data Pipeline, TypeScript, SQL, Airflow, Docker, Kafka, Kubernetes, ETL, Redshift, Spark",,,,
원티드,무신사페이먼츠,Data Engineering (무신사페이먼츠),https://www.wanted.co.kr/wd/332810,,,,"GCP, BigQuery, Data Pipeline, TypeScript, MySQL, SQL, Python, AWS, Java, Kafka, Scala, PostgreSQL, Snowflake",,,,
원티드,라이너(Liner),Data Engineer,https://www.wanted.co.kr/wd/322910,,,,"GCP, BigQuery, Data Pipeline, TypeScript, Tensorflow, Airflow, dbt, Kubeflow, PyTorch, Spark",,,,
원티드,모두싸인,Data Engineer,https://www.wanted.co.kr/wd/326468,,,,"Kotlin, Data Pipeline, TypeScript, SQL, Python, Airflow, Java, ETL, Kafka, AWS, NCP, JavaScript",,,,
원티드,뤼튼테크놀로지스,Data Engineer (Streaming),https://www.wanted.co.kr/wd/299578,,,,"Data Pipeline, TypeScript, Flink, Kubernetes, Python, iOS, Java, MSA, Kafka, React Native, Spark, Android",,,,
원티드,뤼튼테크놀로지스,Data Engineer (Platform),https://www.wanted.co.kr/wd/299570,,,,"Git, Prometheus, BigQuery, EKS, CI/CD, AWS, GitHub Actions, GCP, Python, React Native, Datadog, Snowflake, Data Pipeline, TypeScript, GitLab CI, SQL, Airflow, Android, Kubernetes, ETL, iOS, Grafana, Spark",,,,
원티드,스푼랩스,Data Engineer (5년 이상),https://www.wanted.co.kr/wd/331973,,,,"ClickHouse, Git, REST API, EKS, Data Pipeline, TypeScript, CI/CD, SQL, Airflow, ETL, AWS, dbt, ArgoCD, Presto",,,,
원티드,위대한상상(요기요),"[Tech] Data Engineer (BI, 3년 이상)",https://www.wanted.co.kr/wd/309751,,,,"GCP, BigQuery, SAP, TypeScript, SQL, ETL, Airflow, Python, Redshift",,,,
원티드,위대한상상(요기요),"[Tech] Data Engineer (DW, 5년 이상)",https://www.wanted.co.kr/wd/286018,,,,"Git, Data Pipeline, SAP, Flink, TypeScript, SQL, Airflow, Python, Java, ETL, Kafka",,,,
원티드,넥스트증권,Data Engineer,https://www.wanted.co.kr/wd/312336,,,,"Hadoop, BigQuery, CI/CD, AWS, Java, MSA, PostgreSQL, GCP, Terraform, Python, Ansible, Snowflake, Data Pipeline, TypeScript, SQL, Airflow, Docker, Kafka, Oracle, Flink, Kubernetes, Hive, Redshift, Spark",,,,
원티드,데이터라이즈,Data Engineer(junior),https://www.wanted.co.kr/wd/323643,,,,"Git, Data Pipeline, TypeScript, Python, AWS, Java, Docker, ETL, FastAPI, JavaScript, Spark",,,,
원티드,콘센트릭스서비스코리아CATALYST,Data Engineering 전문가 (리더급),https://www.wanted.co.kr/wd/321518,,,,"Hadoop, GCP, BigQuery, TypeScript, SQL, Python, Airflow, ETL, AWS, Azure, Spark",,,,
원티드,미소(miso),Data Engineer (AI) (데이터엔지니어),https://www.wanted.co.kr/wd/333547,,,,"Data Pipeline, TypeScript, CI/CD, SQL, Next.js, ETL, AWS, MSA, React, React Native, Hive",,,,
원티드,루닛(Lunit),Senior Data Engineer,https://www.wanted.co.kr/wd/327554,,,,"GCP, BigQuery, Data Pipeline, TypeScript, Flink, Kubernetes, SQL, Airflow, Python, ETL, AWS, Kafka, Docker, PostgreSQL, Azure, Redis",,,,
원티드,베이글코드(Bagelcode),[DATA&AI] Data Engineer,https://www.wanted.co.kr/wd/311873,,,,"Hadoop, Node.js, Nest.js, TypeScript, Kubernetes, SQL, AWS, Python, Go, Kafka, GitHub, React, Scala, Hive, DevOps, Spark",,,,
원티드,소크라에이아이,[Socra AI] Data Engineer (신입),https://www.wanted.co.kr/wd/324954,,,,"AWS, Java, PostgreSQL, Gradle, GCP, Terraform, Python, Redis, Kotlin, RabbitMQ, Spring Boot, Data Pipeline, TypeScript, Docker, FastAPI, Django, Kubernetes, ETL, MongoDB, GitHub",,,,
원티드,소크라에이아이,Data Engineer,https://www.wanted.co.kr/wd/290483,,,,"AWS, Java, PostgreSQL, Gradle, GCP, Terraform, Python, Redis, Kotlin, RabbitMQ, Spring Boot, Data Pipeline, TypeScript, Docker, FastAPI, Django, Kubernetes, ETL, MongoDB, GitHub",,,,
원티드,티맵모빌리티,Data Engineer,https://www.wanted.co.kr/wd/327495,,,,"HTML, EKS, Data Pipeline, TypeScript, Terraform, Kubernetes, Python, Airflow, Java, ETL, Kafka, AWS, 프론트엔드 개발자, Scala, JavaScript, Spark",,,,
원티드,티맵모빌리티,Data Engineer (리더),https://www.wanted.co.kr/wd/317098,,,,"HTML, EKS, Data Pipeline, TypeScript, AWS, 프론트엔드 개발자, JavaScript",,,,
원티드,토스뱅크,Data Engineer (Data Reliability - Backend),https://www.wanted.co.kr/wd/324977,,,,"Hadoop, Data Pipeline, TypeScript, CISSP, Python, Powershell, Kafka, Shell, Django, Flask, Elasticsearch, Spark",,,,
원티드,토스뱅크,Data Engineer (Backend),https://www.wanted.co.kr/wd/324973,,,,"Hadoop, Kotlin, TypeScript, Spring, Kubernetes, CISSP, Python, Powershell, Airflow, Java, Shell, Django, Flask, Spark",,,,
원티드,토스뱅크,Data Engineer (DataOps),https://www.wanted.co.kr/wd/323354,,,,"Hadoop, Data Pipeline, TypeScript, Flink, Kubernetes, CISSP, Python, Powershell, Airflow, ETL, Kafka, Shell, Presto, Django, Flask, Spark",,,,
원티드,토스뱅크,Data Engineer (Finance),https://www.wanted.co.kr/wd/306189,,,,"Hadoop, TypeScript, SQL, CISSP, Python, Powershell, Java, Shell, Django, Flask",,,,
